지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
266,2021-01-11,-.3,-3.3,642,2.9,1347,,,,,,,3.6,270,1758,2.5,270,1801,.9,756,-7.1,48,1231,60.5,3.6,1014.1,1029.5,407,1021.8,2348,1025.3,10,.6,1200,1.29,5.8,,,,,,8.8,3,-.9,-7.6,-.8,-.2,.8,1.6,,,,,,.7,1,,
266,2021-01-12,.9,-3.9,718,5.5,1507,,,,,,,6.3,290,1145,4.6,290,1215,1.8,1555,-6.7,36,1314,58.1,3.7,1008.2,1021.7,1,1017.1,1559,1019.3,10,7.5,1200,2.09,11.81,,,,,,2.9,1.3,.3,-9.6,-.2,0,.9,1.6,,,,,,1.5,2.2,,
266,2021-01-13,5.7,-.6,508,12.2,1451,,,,,,,6.1,230,1357,4.7,270,1959,1.4,1238,-1.9,39,1452,59.4,5.4,1006.9,1019.6,2359,1015.1,1534,1017.7,10,8,1200,1.91,11,,,,,,.3,0,2.1,-7.4,1.9,1.2,1.5,1.9,,,,,,1.9,2.6,,
266,2021-01-14,8,1.9,809,12.8,1359,,,,,,,4.1,70,1111,3,90,1119,1.1,940,-.5,26,1506,58.1,6,1010.9,1023.7,1001,1019.5,1,1021.7,10.1,8.2,1200,1.99,11.61,,,,,,2.1,.6,3.7,-5.3,3.6,3.5,3,2.9,,,,,,1.9,2.6,,
266,2021-01-15,10.1,5.3,306,16.2,1444,,,,,,,7.2,250,1353,5.4,290,2240,2,1725,4.5,54,1125,69.1,8.5,1006.7,1021.2,1,1014.5,1509,1017.4,10.1,5.2,1000,1.65,9.09,,,,,,6.8,3.6,6.7,-2.7,6.1,5.6,4.6,4.3,,,,,,1.9,2.8,,
266,2021-01-16,1.6,-2.8,2345,7.5,4,,,,,,,9.2,290,1030,7.4,290,1943,4.2,3644,-8.5,28,1331,47.8,3.3,1011.6,1027.9,2327,1016.3,106,1022.7,10.1,8.4,1200,2.17,12.62,,,,,,3.6,0,3.5,-4.2,3.9,4.7,5.2,5.3,,,,,,2.2,3.1,,
266,2021-01-17,-1.1,-3.4,655,2.9,1339,,,,,,,9.6,290,36,8.1,290,43,2.5,2151,-12.2,19,1340,44.1,2.4,1016.4,1029.3,1025,1025.7,1502,1027.7,10.1,8.9,1200,2.29,13.66,,,,,,4.4,2.3,1.7,-9.7,1.6,2.6,3.9,4.3,,,,,,1.6,2.3,,
266,2021-01-18,.9,-3.2,138,6.1,1450,,,,,,.3,10.6,270,1555,7.1,270,1603,2.6,2278,-5.6,35,1811,64,4.1,1011.3,1026.9,1,1018.6,1531,1022.4,10.1,3.3,1000,1.48,7.99,,,,,,5.8,1.9,1.6,-9.1,1.5,2.2,3.2,3.7,,,,,,1.4,2,,
266,2021-01-19,.1,-4.9,743,5.8,1508,,,,,,,6.2,290,47,4.6,290,53,1.4,1178,-12,19,2146,40.4,2.4,1019.3,1033,2304,1026.1,1,1030.5,10.2,9.1,1200,2.2,13.16,,,,,,.3,0,1.3,-10.7,1.4,2.2,3,3.5,,,,,,1.6,2.3,,
266,2021-01-20,3.9,-2.8,606,11.4,1432,,,,,,,2.3,70,1444,1.8,90,1448,.6,513,-6.3,28,1128,48.9,4.2,1018.9,1032.6,4,1028,1502,1030,10.2,8.4,1200,2.17,12.83,,,,,,2.9,1.3,2.8,-9.7,2.7,2.8,3.1,3.4,,,,,,1.5,2.2,,
266,2021-01-21,7.6,3.1,240,12.4,1447,,,,,,3,2.3,70,1405,1.9,70,1509,.6,490,3.5,53,1122,76.8,8,1013.3,1028.4,5,1020.4,2345,1024.2,10.2,3.8,1100,1.7,7.48,,,,,,7.4,3.5,5.5,-4.7,5.2,5,4.5,4.3,,,,,,1,1.4,,
266,2021-01-22,9.4,7.3,137,11.6,1205,,,,,,1,4.6,70,2346,2.9,50,2331,.5,440,8.5,85,2206,94.4,11.1,1007.7,1020.5,1,1016.7,2330,1018.5,10.2,.3,1100,.98,3.37,,,,,,8,4.3,8.5,6.7,8,7.6,6.5,6,,,,,,.7,1,,
266,2021-01-23,10.5,8.6,2318,12.1,1327,,,,,,1,8.5,50,1155,6.4,50,1459,4,3463,6.5,67,2015,76.3,9.7,1006.9,1020.6,2340,1015.1,1407,1017.6,10.3,0,1200,.62,2.67,,,,,,9.3,6,8.5,6.5,8.6,8.5,7.6,7.2,,,,,,1.3,1.9,,
266,2021-01-24,9.2,7.4,2321,13.6,1317,,,,,,,8.3,50,522,6.2,50,115,3.4,2916,1.3,44,1318,58.4,6.8,1014,1028.8,2333,1020.3,11,1024.8,10.3,6.7,1400,1.81,11.14,,,,,,6.5,1.8,7.6,.9,7.7,7.9,7.7,7.5,,,,,,2.2,3.2,,
266,2021-01-25,9.5,6.8,635,13.9,1417,,,,,,,7,70,1109,5.6,50,1111,3,2578,1.6,41,1512,58.6,6.9,1014.8,1028.8,1,1022.5,2217,1025.6,10.3,8.5,1200,2.2,13.23,,,,,,5.1,3.8,8.1,.4,8,8,7.7,7.5,,,,,,2.4,3.4,,
266,2021-01-26,7.1,4.7,2331,9,329,,,,,,9,6.6,50,115,5.3,290,1830,1.4,1181,4.5,63,48,84.5,8.5,1007.9,1023.1,9,1016.2,1437,1018.8,10.3,.4,1100,.37,2.08,,,,,,7,3.6,6.2,-1.3,6.8,7.3,7.7,7.8,,,,,,.5,.7,,
266,2021-01-27,6.1,1.4,750,11.4,1422,,,,,,,4.5,290,209,3.8,290,210,1.2,995,-3.6,27,1518,51.8,4.7,1010.6,1023.6,941,1019.2,1,1021.5,10.4,8,1200,2.32,13.2,,,,,,3.8,.5,5,-3.5,5.6,6.3,6.8,7,,,,,,2,2.8,,
266,2021-01-28,2.3,-3.9,2359,10,1243,,,,,,.2,10.6,290,1636,7.9,270,1608,3.3,2868,-5.8,24,1110,56.3,4,1006.5,1021.9,2353,1012.8,1345,1017.5,10.4,4.9,1100,2.08,9.54,,,,,,5.5,2.6,2.4,-5.1,3.5,4.7,6.3,6.6,,,,,,1.9,2.7,,
266,2021-01-29,-2.7,-6.4,652,2.6,1512,,,,,,,10.9,270,57,7.3,290,104,3.7,3190,-13.9,28,1302,42.8,2.1,1014,1028.1,2357,1021.5,19,1025.3,10.4,9.3,1200,2.4,14.68,,,,,,1,.6,.6,-8.9,.8,2.2,4.3,5.2,,,,,,1.9,2.7,,
266,2021-01-30,2.9,-4.7,336,10.2,1454,,,,,,,6.7,270,1553,5.4,270,1537,1.5,1306,-4.5,42,1,58.8,4.6,1016.3,1029.5,2355,1024.6,1410,1027.4,10.4,5.4,1100,1.94,10.1,,,,,,4.6,2.9,1.9,-9.3,1.9,2.5,3.6,4.4,,,,,,1.4,2,,
266,2021-01-31,6.5,-.8,645,11.6,1318,,,,,,2.5,4.1,160,1530,3.4,140,1627,1,874,-.6,36,1147,62.6,6.1,1017,1031.3,946,1023.7,2350,1028,10.5,6,1100,2.04,10.98,,,,,,5.1,3.1,4.5,-6.8,4.3,4.4,4.5,4.7,,,,,,1.4,2,,
266,2021-02-01,8.8,6.6,2400,11.8,1047,,,,,,13.5,6.3,270,2131,5.1,290,2250,2.4,2052,5.1,42,2354,79.5,9,1006.8,1023.7,1,1014.9,1523,1017.5,10.5,.4,1000,1.18,3.5,,,,,,9.1,5.3,7.7,2.5,7.5,7.3,6.7,6.4,,,,,,1.3,1.9,,
266,2021-02-02,.2,-2.9,2302,6.6,1,,,,,,,8.1,270,1341,6.2,270,1409,3.2,2775,-14.2,18,1224,34.8,2.1,1013.1,1026.8,2125,1018.6,1,1024.3,10.5,9.4,1200,2.54,15.93,,,,,,0,0,1.9,-7.8,3.3,4.5,5.8,6.2,,,,,,2.4,3.4,,
266,2021-02-03,1.1,-3.4,730,7.1,1538,,,,,,,6.7,290,253,5,290,257,1.9,1660,-13.2,12,1438,35.9,2.3,1015.1,1028.9,852,1024,1535,1026.3,10.6,9.4,1200,2.47,15.42,,,,,,1.3,.9,2,-8.4,2.7,3.7,4.6,5,,,,,,2.4,3.4,,
266,2021-02-04,3.4,-.1,17,8.1,1452,,,,,,0,7.8,290,1520,5.8,290,916,3.1,2655,-11,17,1240,37.9,2.8,1014.1,1026.5,2322,1022.8,225,1025.2,10.6,9.6,1200,2.56,15.84,,,,,,2,.4,3.2,-7.1,3.4,4.1,4.8,5,,,,,,3,4.3,,
266,2021-02-05,3.7,-2,408,8.1,1354,,,,,,,3.9,230,1411,2.7,290,2335,1.2,1017,-10.4,21,1602,35.6,2.8,1011.4,1026.5,3,1019,2238,1022.4,10.6,3.4,1100,2.1,9.64,,,,,,6.8,3.3,1.8,-7.5,3.1,3.8,4.5,4.8,,,,,,1.7,2.4,,
266,2021-02-06,8.1,2.9,549,15.2,1418,,,,,,,7.1,270,1603,5.9,270,1616,1.7,1428,1.4,34,12,63.6,6.9,1006.5,1019,1,1015.2,1432,1017.2,10.7,8.9,1200,2.26,13.82,,,,,,1.3,1,5.2,-5.2,5.2,5.3,5.2,5.1,,,,,,2.2,3.1,,
266,2021-02-07,9.2,4.9,2400,16.6,1430,,,,,,,8.7,290,2349,6.3,290,2315,2.2,1859,-1.7,19,1431,50.8,5.6,1009.1,1022.4,2333,1017.7,355,1019.8,10.7,8.7,1200,2.26,13.93,,,,,,2.8,.3,7.6,-2.1,7.1,6.9,6.5,6.3,,,,,,3.4,4.9,,
266,2021-02-08,1.4,-2.2,2323,7.1,1408,,,,,,,8.1,290,1206,6.1,290,2103,3.5,3051,-13.9,18,1627,32,2.1,1014.8,1029.2,2257,1022,2,1026,10.7,9.7,1200,2.59,16.33,,,,,,1,0,3.6,-7.7,4.2,5.2,6.2,6.4,,,,,,2.8,4.1,,
266,2021-02-09,2.6,-3.7,753,9.4,1637,,,,,,,4.4,290,50,3.7,290,39,1.6,1345,-13,19,1659,31.4,2.3,1016.6,1030.1,912,1025.3,1724,1027.7,10.8,9.7,1200,2.56,16.44,,,,,,.9,0,3.8,-9.5,3.9,4.6,5.3,5.5,,,,,,2.5,3.6,,
266,2021-02-10,6.1,-1.1,511,14.1,1447,,,,,,,6.1,290,1545,5.1,270,1553,1.6,1388,-7.4,15,1318,39.9,3.6,1014.1,1027,121,1022.1,1447,1025,10.8,9.2,1200,2.49,15.46,,,,,,1.5,0,5.1,-7.8,5,5.2,5.4,5.6,,,,,,2.7,3.9,,
266,2021-02-11,6.7,2.2,701,11.2,1406,,,,,,,3.7,70,1114,2.8,70,1121,1,883,-2.7,36,1435,52,5,1014,1026.8,1011,1023.2,1450,1025,10.8,1.5,1100,1.45,8.93,,,,,,9.6,.4,5,-4.1,5.3,5.6,5.9,6.1,,,,,,1.4,2,,
266,2021-02-12,9.4,4.4,731,16.2,1508,,,,,,,2.4,180,1554,1.9,160,1521,.8,655,-.8,25,1712,50.6,5.8,1013.7,1025.6,847,1022.7,1504,1024.5,10.9,7.4,1200,2.35,13.34,,,,,,7,4.4,8.2,-1.3,7.3,7.2,6.7,6.6,,,,,,2.2,3.1,,
266,2021-02-13,11.2,4,729,19.4,1528,,,,,,,2.4,160,1527,2,70,1640,.7,568,-2.4,16,1511,41.3,5.2,1012.8,1026.1,759,1020.9,1622,1023.5,10.9,8.5,1200,2.5,15.41,,,,,,1.6,.8,8.5,-3.5,7.9,8,7.5,7.3,,,,,,2.8,4.1,,
266,2021-02-14,11.5,8.3,608,15.8,1333,,,,,,2.5,2.5,70,1312,2.1,70,1317,.8,650,4.7,37,921,66.1,9,1004.7,1021.6,7,1010.2,2359,1015.3,10.9,.5,1000,1.36,6.78,,,,,,8,4.3,9.4,1.6,9.3,9,8.4,8.1,,,,,,1.3,1.8,,
266,2021-02-15,5.1,-.7,2320,10.7,200,,,,,,.1,11.6,290,1451,9,290,1458,4.7,4058,-1.3,39,1717,65,6.2,999.9,1015.7,2352,1008,454,1010.7,11,6.6,1300,2.47,12.39,,,,,,5.1,2.9,7.6,-3.3,7.6,8.2,8.7,8.5,,,,,,2.3,3.2,,
266,2021-02-16,1.2,-2.8,2356,8.2,1502,,,,,,0,9.6,270,1544,7.1,270,1551,3.5,3050,-8,26,1427,53.6,3.5,1005.2,1018.7,832,1012.1,1634,1016.2,11,7.5,1200,2.67,15.13,,,,,,2.5,.6,3.9,-7.1,4.3,5.5,6.7,7.2,,,,,,2.3,3.3,,
266,2021-02-17,-4.2,-5.9,658,-.2,1302,,,,,,0,11.5,290,1448,8.2,290,1753,3.6,3078,-10.7,40,1632,62.1,2.8,1007.5,1020.9,2144,1016.4,1359,1018.8,11,7.6,1200,2.68,14.45,,,,,,6,3.1,1.4,-7.7,2,3.7,5.6,6.4,,,,,,1.5,2.1,,
266,2021-02-18,-2.8,-6.1,551,1.7,1514,,,,,,0,10.1,290,1322,7.7,290,1324,4.1,3557,-10.7,39,1215,55,2.7,1010.3,1023.5,2340,1019.9,111,1021.6,11.1,9,1200,2.75,17.25,,,,,,3.9,3.4,2,-7.3,1.7,2.8,4.5,5.3,,,,,,1.8,2.6,,
266,2021-02-19,4.6,-3.1,723,13.1,1428,,,,,,,7.5,270,1655,5.9,270,1702,2.3,1973,-5.5,24,1430,50.9,4.2,1008.3,1023.5,1,1016.1,2358,1019.3,11.1,10.2,1200,2.73,18.04,,,,,,0,0,4.9,-8.6,4.4,4.6,4.8,5.1,,,,,,3,4.3,,
266,2021-02-20,11.4,4.9,12,19.2,1358,,,,,,,5.9,230,1513,5,230,1519,1.9,1651,4.4,39,1434,64.8,8.4,1002.3,1016.1,1,1010.1,1509,1012.9,11.1,9.5,1200,2.45,15.68,,,,,,.1,0,9.1,-2.1,8,7.5,6.6,6.4,,,,,,2.8,4,,
266,2021-02-21,14.6,7.2,317,23.3,1520,,,,,,,6.9,270,1632,5.4,250,1454,2.4,2073,4.8,23,1612,56.6,8.7,1003,1014.8,1,1011.1,1359,1013.5,11.2,10.1,1200,2.65,17.34,,,,,,.4,0,11.4,.2,10.3,9.7,8.4,7.9,,,,,,3.9,5.6,,
266,2021-02-22,14,7.4,2357,22.8,1458,,,,,,,8.9,290,1632,6.3,290,1635,2.4,2108,4.6,22,1635,58.3,9.2,1003.4,1019.6,2340,1009.6,1440,1013.8,11.2,8.6,1200,2.53,15.78,,,,,,.8,.1,13.6,2.6,12.2,11.6,10.1,9.4,,,,,,3.9,5.6,,
266,2021-02-23,6.8,2.2,642,13.7,1539,,,,,,,7.8,290,7,6.9,290,26,1.8,1569,-12.9,11,1519,25,2.3,1012,1024.8,915,1019.5,1,1022.9,11.2,7.9,1200,2.4,14.92,,,,,,5.3,.5,8.8,-4,8.6,9.2,9.5,9.4,,,,,,2.9,4.2,,
266,2021-02-24,6.5,1.5,514,11.3,1540,,,,,,,4.3,70,1002,3.3,70,1004,1.2,1073,-10.9,12,1435,30.3,2.8,1013.7,1026.1,851,1023.1,1539,1024.6,11.3,1.5,1500,1.39,8.68,,,,,,6.5,4.3,6.5,-5,6.5,7.1,8.3,8.5,,,,,,1.8,2.6,,
266,2021-02-25,7,3.7,628,9.8,1145,,,,,,9,8.8,50,1747,6.3,50,1725,2.1,1811,2.4,56,205,73.4,7.3,1011.9,1024.9,1,1020.6,1723,1022.8,11.3,0,1200,.61,2.93,,,,,,10,3.3,6.2,-.5,6.3,6.8,7.6,7.9,,,,,,.9,1.2,,
266,2021-02-26,9.5,5.8,7,13.9,1421,,,,,,1.5,9.9,50,1208,7.2,50,842,4.6,3964,1.9,39,1528,61.3,7.1,1010.4,1024.2,2219,1018.9,311,1021.1,11.3,5.7,1100,2.46,14.2,,,,,,8.9,3.5,9,4.7,8.4,8.4,8.1,8.1,,,,,,2.9,4.2,,
266,2021-02-27,8.1,5.8,2351,12.6,1331,,,,,,,10.1,50,929,7.6,50,1241,4.9,4213,-1.3,38,1507,51.8,5.5,1017,1029.4,1941,1023.9,15,1027.9,11.4,7,1300,2.57,15.47,,,,,,7.8,3,7.8,2.1,7.8,8.1,8.4,8.5,,,,,,3.4,4.9,,
266,2021-02-28,9.1,5.7,153,12.9,1047,,,,,,.5,7.5,50,412,5.6,50,345,2.5,2174,3.1,47,1048,67.4,7.9,1015.4,1029,211,1023.3,2346,1026.3,11.4,.8,1000,1.94,7.26,,,,,,7.4,4.6,8.1,3.5,8.1,8.3,8.5,8.5,,,,,,1.2,1.8,,
266,2021-03-01,11.9,8.5,2358,15.6,1600,,,,,,39,7.8,290,2356,6.5,290,2400,2.1,1786,10.6,75,110,91.9,13,1003.6,1023.2,1,1007.9,1842,1014.2,11.4,0,1000,.19,1.15,,,,,,9.9,6.4,11,6.2,10.7,10.5,9.7,9.3,,,,,,.6,.8,,
266,2021-03-02,6.7,3.2,2257,11.3,1628,,,,,,.1,7.2,290,8,6.5,290,2,2.5,2123,.8,40,1611,66.8,6.5,1012,1029.7,2356,1009.2,1,1022.9,11.5,5.2,1200,2.72,14.06,,,,,,6,4.6,8.7,-1.2,9.2,10,10.2,10,,,,,,2,2.8,,
266,2021-03-03,6.2,1.7,542,10.7,1440,,,,,,,5,50,930,3.7,50,921,1.3,1093,-1.9,35,1314,57.1,5.3,1019,1032.4,803,1027.8,1724,1030,11.5,9.3,1300,2.68,18.42,,,,,,4.9,.8,8.1,-2.4,7.7,8.3,9,9.2,,,,,,2.2,3.2,,
266,2021-03-04,7.9,4.7,221,9.9,1143,,,,,,13,4.5,50,2157,3.6,70,2359,1,899,4,60,1,77.5,8.2,1013.1,1028.7,8,1019.9,2400,1024,11.5,0,1000,.41,2.46,,,,,,9.8,5,7.1,.5,7.4,7.9,8.8,8.9,,,,,,.7,1,,
266,2021-03-05,12.4,6,646,18.5,1531,,,,,,0,6.3,70,5,4.9,70,15,1.4,1190,6.8,50,1451,70.5,9.9,1008.5,1021,2345,1016.5,1517,1019.1,11.6,9.5,1200,2.89,18.66,,,,,,4.1,.1,12.6,1.7,11.5,10.9,9.8,9.4,,,,,,2.7,3.9,,
266,2021-03-06,9.7,5.4,2355,16.6,1207,,,,,,,7.8,70,1932,6.1,70,2023,2.8,2439,2.9,42,955,63.5,7.6,1014.9,1030.3,2339,1021,8,1025.6,11.6,5.3,1100,2.12,12.5,,,,,,7.4,4.6,9.4,1.1,9.8,10.2,10.5,10.4,,,,,,2.4,3.5,,
266,2021-03-07,7.2,4.4,726,11,1540,,,,,,,5.6,50,252,4.5,70,1058,1.9,1647,1.3,52,1440,66.6,6.7,1017.3,1030.7,901,1025.9,1558,1028.2,11.7,5,1000,2.25,14.25,,,,,,7,6.3,9.9,2.5,9.1,9.5,9.8,10,,,,,,1.7,2.4,,
266,2021-03-08,8.9,3.5,649,15,1543,,,,,,,3.9,50,1022,2.8,70,1031,1.1,988,2.5,33,1521,67.1,7.4,1016,1028.8,909,1024.8,1535,1026.8,11.7,10,1200,2.9,19.27,,,,,,2.9,1.8,10.5,-1.1,9.8,9.9,10,10,,,,,,2.6,3.7,,
266,2021-03-09,10.4,6.6,511,15,1458,,,,,,,4.1,160,1316,3.5,290,2257,1.2,1060,1.7,30,1640,56.6,7,1013.9,1026.7,827,1022.1,1448,1024.7,11.7,6.9,1200,2.89,17.29,,,,,,7.6,3.8,11.8,4.1,11.3,11.4,10.9,10.8,,,,,,2.8,4,,
266,2021-03-10,10.7,5,628,17,1416,,,,,,,5.3,50,1047,4.4,70,1101,1.5,1295,.7,29,1148,52.1,6.5,1017.1,1030.4,2216,1024.9,42,1027.8,11.8,10.3,1200,2.96,20,,,,,,0,0,11.3,-1.1,10.7,10.8,10.9,10.9,,,,,,3.4,4.9,,
266,2021-03-11,11.1,6.1,326,16.6,1424,,,,,,1,3.5,50,3,2.7,90,920,1,880,3.5,36,1227,61.4,8,1015.6,1030,914,1023.3,1729,1026.4,11.8,7,1300,2.64,16.39,,,,,,7.8,2.5,12.6,1,11.3,11.1,11,11,,,,,,2.4,3.5,,
266,2021-03-12,9.6,8.5,642,10.8,1715,,,,,,12.5,9.7,50,518,7.6,50,538,3.6,3108,6.8,67,2247,83.5,9.9,1008.1,1023.3,1,1016.6,1501,1018.8,11.8,0,1500,.43,2.77,,,,,,8.3,4.9,9.8,6.4,10,10.6,11.1,11.3,,,,,,.8,1.2,,
266,2021-03-13,10.5,5.3,721,16.8,1335,,,,,,,5.4,50,1,3.5,50,2,1.3,1143,3.8,37,1213,66.4,8.1,1010.3,1023.4,851,1018.8,1649,1021,11.9,10,1200,2.95,20.27,,,,,,1.6,.8,11.5,.5,11.1,11,10.9,10.7,,,,,,3,4.3,,
266,2021-03-14,11.6,5.8,557,17.7,1501,,,,,,,7.3,270,1324,5.5,270,1557,1.8,1523,2.7,33,1357,57.3,7.4,1009,1021.7,851,1017.7,1551,1019.7,11.9,10.1,1200,3.11,20.77,,,,,,3.5,.1,12,1,11.3,11.3,11.3,11.3,,,,,,3.6,5.1,,
266,2021-03-15,12.6,6.5,615,17.6,1457,,,,,,.1,4.1,180,1410,2.8,180,1519,1.1,933,6.3,47,1053,66.6,9.7,1007.2,1021,917,1014.6,2358,1017.8,12,8.1,1200,2.68,17.28,,,,,,6.3,2,13.3,.8,12.2,11.9,11.6,11.6,,,,,,2.5,3.6,,
266,2021-03-16,14.9,9.8,2352,21.1,1527,,,,,,2.5,7,270,1315,5.3,270,1319,2.4,2099,2.4,11,1649,51.8,8.1,1002.8,1016,2347,1011.5,1522,1013.2,12,10.6,1300,3.1,20.79,,,,,,3.3,1.1,15.4,4.1,14.6,14.3,13.4,12.9,,,,,,5,7.1,,
266,2021-03-17,11.6,5.9,625,17.6,1321,,,,,,,4.2,20,920,3,70,956,1.2,996,-.7,17,1323,47.3,6.1,1008,1021.5,2248,1015.8,39,1018.7,12,9,1200,3.1,19.99,,,,,,2.8,0,11.8,.3,11.9,12.2,12.7,12.6,,,,,,3.3,4.8,,
